Date,open,high,low,close,adj close,volume,sentiment,btc_trans_blockchain,avg_block_size,unique_sentbyaddress,avg_hashrate,sent_in_usd,median_trans_fee,avg_block_confirm_time_min,median_trans_value_usd,sma_20,ema_20,ema_12,ema_26,macd,signal_line,rsi,%k,%d,middle_band,upper_band,lower_band
2015-01-13,267.394012,268.277008,219.906006,225.860992,225.860992,72843904,-1,102182.0,473566.0,177766.0,2.72e+17,396182478.0,0.0239,11.339,109.132,293.05310065,288.6157619016765,275.75485395061946,296.3167353235114,-20.561881372891946,-16.697530743445633,25.909889494420895,5.923650363469295,11.648286693443744,293.05310065,345.50650506799377,240.59969623200618
2015-01-14,223.893997,223.893997,171.509995,178.102997,178.102997,97638704,-1,104620.0,420424.0,176128.0,3.14e+17,439178499.0,0.0198,9.931,100.75,286.00785069999995,278.09073667294535,260.7314913428318,287.5601621143624,-26.828670771530597,-18.723758749062625,19.61412736838531,4.427061854751136,8.85377343810641,286.00785069999995,357.99632501986724,214.01937638013266
2015-01-15,176.897003,229.067001,176.897003,209.843994,209.843994,81773504,-1,120239.0,422623.0,189764.0,3.11e+17,511062279.0,0.0206,9.536,118.491,280.10384984999996,271.5910468945696,252.90264559778078,281.8034089207059,-28.900763322925144,-20.75915966383513,31.52337343513348,26.560151177940032,12.303621132053484,280.10384984999996,356.83021410797056,203.37748559202936
2015-01-16,209.070007,221.591003,199.770996,208.097,208.097,38421000,0,104560.0,394092.0,168827.0,3.28e+17,330246817.0,0.0212,10.36,111.052,274.7155495,265.5439948093725,246.00946935196836,276.3436749265796,-30.334205574611218,-22.67416884599035,31.248966095329592,25.47132084009553,18.819511290928894,274.7155495,355.876253772032,193.55484522796806
2015-01-17,207.834,211.731003,194.875,199.259995,199.259995,23469700,0,90361.0,390993.0,179369.0,2.98e+17,213977797.0,0.0201,10.435,77.238,268.81659855,259.2312329227656,238.81724252858862,270.6337727097959,-31.81653018120727,-24.502641113033736,29.834227490722057,21.808493403025047,24.613321807020196,268.81659855,354.0134329806755,183.61976411932451
2015-01-18,200.050003,218.695007,194.505997,210.339005,210.339005,30085100,0,83033.0,320738.0,149221.0,3.21e+17,188491537.0,0.0206,9.412,67.6,263.70004815,254.5748302634546,234.43597521649806,266.1674936201814,-31.73151840368334,-25.94841657116366,33.876073148129834,30.515394898414172,25.93173638051158,263.70004815,350.0905971754313,177.30949912456867
2015-01-19,211.470993,216.727997,207.317993,214.860992,214.860992,18658300,-1,98341.0,402693.0,166356.0,3.45e+17,197147953.0,0.0212,10.0,76.733,258.90624775,250.7925599526494,231.42443933703683,262.3670120186865,-30.942572681649693,-26.947247793260868,35.50899938913989,34.069186741948066,28.79769168112909,258.90624775,344.9465946933549,172.86590080664504
2015-01-20,212.906998,215.240997,205.153,211.315002,211.315002,24051100,1,98807.0,450136.0,159415.0,2.74e+17,283442771.0,0.0211,12.203,76.932,253.4623482,247.03279252858758,228.33067974672346,258.585381646932,-30.254701900208516,-27.6087386146504,34.78360301960974,31.282422795202365,31.955668145188195,253.4623482,336.914334859358,170.010361540642
2015-01-21,211.378006,227.787994,211.212006,226.897003,226.897003,29924600,1,96810.0,354071.0,159612.0,2.84e+17,285686626.0,0.0215,9.664,73.247,249.0947487,245.1150982877697,228.1101140933814,256.23809433975185,-28.12798024637044,-27.712586940994406,40.53253021247864,45.16778897030104,36.83979950248382,249.0947487,328.1807042557991,170.00879314420087
2015-01-22,227.322006,237.018997,226.434006,233.406006,233.406006,33544600,-1,93563.0,396432.0,156944.0,3.36e+17,262269539.0,0.0232,10.667,88.082,245.01344835,243.99994664131546,228.92486669439967,254.54682853680728,-25.621961842407615,-27.294461921277048,42.80080593134364,51.75077854198194,42.73366343582844,245.01344835,317.95837106574174,172.0685256342583
